Unnamed: 0,Gene,scores,log2FC,p_value,q_value
29901,Pcna,-3.363514,-0.20591281,0.0007848025782231,0.0140140738709386
29902,Ptger2,-3.3640666,-0.8161076,0.0007806447171817,0.0139558781822949
29903,Spred2,-3.364663,-0.266332,0.0007812482102682,0.0139586309973885
29904,Ppp6r3,-3.3653014,-0.16745122,0.0007803480293062,0.0139558781822949
29905,Dynlt1a,-3.369175,-0.51327705,0.0007667425377036,0.0137685499951794
29906,Ap2a2,-3.3691852,-0.23594223,0.000769051472834,0.0137883114237396
29907,Ces2g,-3.3692486,-0.624996,0.0007657831558554,0.0137685499951794
29908,Srgap2,-3.3696387,-0.27481118,0.0007675058783903,0.0137685499951794
29909,Mthfd2,-3.3711944,-0.48527482,0.0007626819497623,0.0137296014991131
29910,Gt(ROSA)26Sor,-3.3724978,-0.34495804,0.0007585036432182,0.0136781728413794
29911,Kin,-3.372563,-0.3337749,0.0007593267492627,0.0136850688014261
29912,Fxn,-3.3754702,-0.23824197,0.0007514991468626,0.0135834126935532
29913,Fam83d,-3.3760343,-0.72013956,0.0007480716666943,0.0135395523075815
29914,Tox2,-3.376868,-3.6473794,0.0007482005525974,0.0135395523075815
29915,Rrs1,-3.377702,-0.26982665,0.0007455361345884,0.0135070791058194
29916,Taf1d,-3.378611,-0.14993522,0.0007435234524309,0.0134784785571147
29917,Relt,-3.3787854,-0.27181894,0.0007427374101657,0.0134720939239942
29918,Pgrmc2,-3.3797913,-0.26461673,0.0007407045997406,0.0134430741880458
29919,Mrps10,-3.3835135,-0.2403273,0.00072969308468,0.0132742585580374
29920,Nop10,-3.384332,-0.14485984,0.0007274350264794,0.0132409377944116
29921,Phf6,-3.3858867,-0.25233817,0.0007248461916733,0.0132170574222146
29922,Pde10a,-3.3861387,-2.1454544,0.0007195674821028,0.0131516945389877
29923,Lrrc58,-3.3871148,-0.080250554,0.0007207771179432,0.0131583138409713
29924,Ccdc117,-3.3874028,-0.278804,0.0007200425806943,0.0131526366225302
29925,Pcm1,-3.38889,-0.19507267,0.0007158307407471,0.0130911024690341
29926,Thra,-3.3894072,-0.22455922,0.0007146582869565,0.0130773622774664
29927,Ndufc2,-3.3943331,-0.1642309,0.0007014845504748,0.0128590317272115
29928,Mgat4b,-3.396422,-0.25479364,0.000697419170811,0.0127920599593586
29929,Hist1h1a,-3.3978117,-0.47616166,0.0006929307643184,0.012717245286277
29930,Fam92a,-3.3987796,-0.24056014,0.0006905429529477,0.0126884203064425
29931,Tshz1,-3.4023762,-0.31381065,0.000681740208185,0.0125489500206099
29932,Tssc4,-3.4077408,-0.24487372,0.0006683693670292,0.0123320700857743
29933,Commd1,-3.4108834,-0.1984048,0.0006611777271927,0.0122211618824502
29934,Fam198b,-3.4125702,-0.9585064,0.0006537153634216,0.0120976300240358
29935,Bak1,-3.413552,-0.29896477,0.0006532879534183,0.0120969295274303
29936,Slirp,-3.414617,-0.40649095,0.0006494912013309,0.0120733670993478
29937,Mcrip2,-3.4146478,-0.4034766,0.0006510395106393,0.0120733670993478
29938,Ndufaf2,-3.4149346,-0.2632738,0.0006505749573355,0.0120733670993478
29939,Mrpl35,-3.4149883,-0.26457825,0.0006512378801213,0.0120733670993478
29940,1700066M21Rik,-3.4153173,-0.5279482,0.0006497766773687,0.0120733670993478
29941,Actr2,-3.4154751,-0.14159326,0.0006504771223013,0.0120733670993478
29942,Nfyb,-3.415968,-0.26004335,0.0006488693959003,0.0120727030262996
29943,Tbl1xr1,-3.416981,-0.1687673,0.0006465912895049,0.0120375295641468
29944,Man2a1,-3.4176242,-0.31582674,0.0006444651884263,0.0120195660637861
29945,Aurkaip1,-3.4188175,-0.19490716,0.0006425180331799,0.0119904522141454
29946,Ndufa7,-3.419537,-0.15256208,0.0006403578312937,0.0119573251564426
29947,Plekhg3,-3.4203048,-0.40620208,0.0006382654263804,0.0119254249611269
29948,Polr3k,-3.4215455,-0.19142246,0.0006362870887662,0.011902784920156
29949,Jakmip1,-3.4230847,-0.35615185,0.0006317651086217,0.0118324498902479
29950,Cenpc1,-3.4268324,-0.27186567,0.0006230217295021,0.0117035233991863
29951,Phb2,-3.427129,-0.17563246,0.0006233738351287,0.0117035233991863
29952,Cdca4,-3.4285524,-0.26229832,0.0006197946931219,0.0116574709906216
29953,Cd200r3,-3.4308023,-2.798341,0.000612692811199,0.0115448724916048
29954,Ostc,-3.4308608,-0.18776296,0.0006149871680214,0.011581077336913
29955,Kif2a,-3.4327877,-0.22317587,0.0006100996027496,0.011507543387855
29956,Drap1,-3.4329176,-0.14671186,0.0006103411573695,0.011507543387855
29957,Clec4d,-3.433074,-0.6458196,0.0006081944449033,0.0115019866611356
29958,Ddx46,-3.4334,-0.15116502,0.0006094899139975,0.011507543387855
29959,Sumo3,-3.4335191,-0.16536172,0.0006089700815306,0.011507543387855
29960,Ppp2r5c,-3.435968,-0.15873213,0.0006034380299338,0.011418989118547
29961,Hist1h4b,-3.4378426,-0.72326416,0.0005975802220379,0.0113219393745849
29962,Fam133b,-3.4398398,-0.2175306,0.0005945594594566,0.011278469697317
29963,Ezr,-3.440305,-0.20673063,0.0005938503037299,0.0112719031061891
29964,Gm44238,-3.444248,-0.5777463,0.0005838141445561,0.0111014567528401
29965,Mtrf1l,-3.4449341,-0.30208412,0.0005828586672799,0.0110919928796806
29966,Nmral1,-3.4470818,-0.24442293,0.0005792116597755,0.0110345151355882
29967,Kpnb1,-3.4477997,-0.16979267,0.000578395512599,0.0110257310329881
29968,Gadd45g,-3.4479535,-1.0669343,0.0005740298599125,0.0109656935508028
29969,Sv2a,-3.4484406,-0.72770303,0.0005741866394102,0.0109656935508028
29970,Vcpkmt,-3.4487312,-0.40782714,0.0005739973795549,0.0109656935508028
29971,A4galt,-3.45176,-6.1097827,0.0005709352205704,0.0109313063609447
29972,C2cd2l,-3.4520211,-0.47448274,0.0005675863390669,0.0108932376928598
29973,Hist1h2bn,-3.4524286,-0.5798743,0.0005667857618727,0.0108846000392306
29974,Dtl,-3.4532838,-0.2720732,0.000566326375829,0.0108825080127598
29975,Hist1h2bf,-3.455372,-0.75247765,0.0005599716438302,0.0107804088381033
29976,Mcpt4,-3.4558754,-2.8835158,0.0005593443498707,0.0107750124668335
29977,Parvb,-3.4568212,-0.9019428,0.0005559879991711,0.0107170051758288
29978,Arpp19,-3.4610438,-0.20500061,0.0005500035207516,0.0106214299315299
29979,Akap2,-3.4621823,-1.9388591,0.000544984157935,0.0105441701285714
29980,Vdac2,-3.4655774,-0.15568791,0.0005408690103963,0.0104710756732163
29981,4930579G24Rik,-3.4658272,-0.39331624,0.0005400128927355,0.0104675532822209
29982,Pf4,-3.4672155,-0.66719264,0.0005346261659117,0.0103696104497545
29983,Papss2,-3.4692483,-1.4495649,0.0005317619268475,0.0103205019464989
29984,Hist1h2ag,-3.4701004,-0.583587,0.0005308213518232,0.0103151410751992
29985,Arhgap30,-3.470715,-0.18744825,0.0005313865629125,0.0103196666279693
29986,Slmap,-3.4720614,-0.25614083,0.0005281402774008,0.0102694677734059
29987,Hist1h4k,-3.4749155,-0.82728446,0.0005203848606297,0.0101250069405614
29988,Msl1,-3.476861,-0.23057404,0.0005188602359465,0.0101080093518487
29989,Lsm2,-3.4795732,-0.22448933,0.0005136325507149,0.0100187384405466
29990,Gps1,-3.480834,-0.23548162,0.0005108799881983,0.0099713112969968
29991,Gm26518,-3.4809637,-0.35964411,0.0005094977802385,0.0099568499494956
29992,Npm3,-3.4816692,-0.3280083,0.000508067816345,0.0099351573683644
29993,Galnt3,-3.4824388,-1.2449381,0.0005054621651774,0.0099010408627181
29994,Ccl2,-3.483838,-3.7651982,0.0005057788475562,0.0099010408627181
29995,Ifngr2,-3.484043,-0.361167,0.0005045269266329,0.0099010408627181
29996,Tpsb2,-3.4841294,-2.707562,0.0005036508942256,0.0098923916624856
29997,Mrps26,-3.4866111,-0.20909065,0.0005001308740141,0.0098356960296152
29998,Thap2,-3.489253,-0.29278687,0.0004949605396819,0.0097401835479995
29999,Mis12,-3.4909728,-0.30965284,0.0004922719091794,0.0096976023025709
30000,Hvcn1,-3.4932253,-0.9393793,0.0004855984896719,0.0095825431421802
30001,Kifc5b,-3.4963622,-0.50501364,0.0004815375394645,0.0095182592062328
30002,Zfp91,-3.4964764,-0.19982754,0.0004826743618409,0.0095346609149151
30003,Xlr4b,-3.4970574,-0.5804141,0.0004794823180754,0.0094897160122351
30004,Nap1l1,-3.5000138,-0.15681604,0.0004761498939069,0.0094371679496741
30005,Metap1,-3.500143,-0.2163752,0.0004756523770518,0.0094371679496741
30006,Gm16341,-3.500547,-1.6173863,0.0004725381581376,0.0093881813337487
30007,Cd163,-3.5005696,-0.34655744,0.0004748484456798,0.0094280490944357
30008,Rnaseh2b,-3.5026479,-0.25566843,0.0004715469216532,0.0093744856325857
30009,Wdr31,-3.5029187,-0.627117,0.0004694191150019,0.0093381625740905
30010,Xlr4c,-3.5050142,-0.9551686,0.0004651486638749,0.0092829443825888
30011,Fmc1,-3.5052521,-0.22198357,0.0004666665802352,0.009301281974355
30012,Qk,-3.5065928,-0.19861327,0.0004647497948338,0.0092809487967689
30013,Shisa2,-3.506863,-1.5646137,0.0004613377678665,0.0092369543682518
30014,Hist1h2ai,-3.5080981,-0.44358832,0.0004616571839773,0.0092370106533827
30015,Dicer1,-3.5111604,-0.24515434,0.0004569410379956,0.0091603551019222
30016,Acsl4,-3.5144908,-0.3541273,0.0004502111117761,0.0090371077272051
30017,Letm1,-3.5164356,-0.2866691,0.000447812328864,0.0089947711825456
30018,Nutf2-ps1,-3.5171723,-0.55748844,0.000444832138253,0.0089426488058455
30019,Mif,-3.5178883,-0.16521281,0.0004449293918472,0.0089426488058455
30020,Mphosph8,-3.5185256,-0.29384354,0.0004441259143231,0.0089380700048464
30021,Ighv1-30,-3.5187607,-1.9872161,0.0004416014943091,0.0088930293143848
30022,Gna13,-3.5206523,-0.23592658,0.0004408354771839,0.0088891325149308
30023,Orc6,-3.5210602,-0.27631357,0.0004398863511077,0.0088757575444771
30024,Ndufa4,-3.5223763,-0.15762503,0.0004381659734386,0.0088467932205394
30025,Ppp2r5d,-3.5228753,-0.26012692,0.0004371161479829,0.0088313388050186
30026,Bst2,-3.5271137,-0.22652572,0.0004302047878774,0.0087030288455765
30027,Galnt6os,-3.5281363,-0.8799827,0.0004261248185903,0.0086486627396633
30028,Uba2,-3.5302398,-0.21684799,0.0004255220965699,0.0086420782634323
30029,Ube2j2,-3.5323756,-0.20485322,0.0004216900316729,0.0085698563832066
30030,Cyp11a1,-3.533348,-1.3705176,0.0004177125688037,0.0085113047237947
30031,Rex1bd,-3.533381,-0.20170966,0.0004198730241265,0.0085385180210889
30032,Arpc1b,-3.5338519,-0.09358422,0.0004198104196608,0.0085385180210889
30033,Ctsw,-3.5340748,-0.42655063,0.0004182589667622,0.0085168496359786
30034,Copz1,-3.535317,-0.1999875,0.0004175367050629,0.0085113047237947
30035,Lamp3,-3.5439067,-0.9070934,0.0004014728738337,0.0082217387500349
30036,Psmg1,-3.5440207,-0.24815357,0.0004039010854514,0.0082569719595278
30037,Mta1,-3.5454113,-0.17161621,0.0004019128400654,0.0082217387500349
30038,Luc7l3,-3.5455236,-0.1628102,0.0004017784693184,0.0082217387500349
30039,Edf1,-3.547197,-0.17288001,0.0003988074572456,0.0081743682969297
30040,E2f2,-3.5481255,-0.5911647,0.0003963499866819,0.0081347363756997
30041,Zfp365,-3.5491505,-1.8623357,0.0003934946063748,0.0080975401005694
30042,Mapk11,-3.5500097,-0.6848664,0.0003932556243639,0.0080975401005694
30043,Emp3,-3.552035,-0.14467232,0.0003914521764542,0.0080715567300348
30044,Bsg,-3.552957,-0.14525683,0.0003908434037782,0.0080643589485213
30045,Slc37a3,-3.5541306,-1.0357211,0.0003862402274616,0.00799061811017
30046,Bloc1s4,-3.5544386,-0.36923867,0.00038753066649,0.0080013229963529
30047,Etnk1,-3.5553672,-0.17824437,0.0003868308779154,0.0079975094886198
30048,Otud4,-3.557452,-0.20439062,0.0003840667539006,0.0079509499392517
30049,St13,-3.5599117,-0.15225297,0.0003804487333116,0.0078940980806676
30050,Gm40123,-3.5602567,-0.31634468,0.0003794188032345,0.0078809980580884
30051,Eif5a,-3.5608704,-0.1195653,0.0003785491960363,0.0078681982493419
30052,Ly6e,-3.562075,-0.1276216,0.0003770689911683,0.0078479379240958
30053,Mfap1a,-3.5624251,-0.29827046,0.0003758978037404,0.0078288091881633
30054,Arpc4,-3.5667272,-0.13459101,0.0003702509667104,0.0077241376316085
30055,Asb16,-3.5690129,-1.0067284,0.0003649428313084,0.0076416518817409
30056,Rheb,-3.5695515,-0.19107273,0.0003667600681195,0.0076641994584898
30057,Gna14,-3.5697107,-1.2138656,0.0003642773842268,0.0076380186444268
30058,Tspan5,-3.5700715,-0.3215478,0.0003656361983518,0.0076458591699794
30059,Stk17b,-3.5702975,-0.28935155,0.0003653115871959,0.0076442188121258
30060,Ulbp1,-3.5705006,-0.4278899,0.0003645388203003,0.0076383427711115
30061,Fah,-3.5721462,-0.46570957,0.0003620699145502,0.0076004333074448
30062,Hist1h3e,-3.5736625,-0.38498327,0.0003604205920275,0.0075724902870306
30063,Faim,-3.5772226,-0.27434286,0.0003557389927395,0.0074842567354619
30064,Acaa2,-3.5795367,-0.26351097,0.0003529274247223,0.0074301391999341
30065,Pidd1,-3.580073,-0.36469504,0.0003516503818412,0.0074156056894237
30066,Pola1,-3.5804114,-0.27713484,0.0003519982863559,0.0074156056894237
30067,Ube2m,-3.5805364,-0.1921622,0.0003517602004683,0.0074156056894237
30068,Nrm,-3.581343,-0.26982492,0.000350796445156,0.0074053582674582
30069,Eif3g,-3.5831344,-0.18683985,0.0003483420550868,0.0073635574108995
30070,D030056L22Rik,-3.583998,-0.32325774,0.000346729865482,0.0073344703765758
30071,Lypd6b,-3.585251,-1.1347712,0.0003434537237454,0.0072772322949186
30072,Col5a1,-3.5854075,-3.5513828,0.0003449618028309,0.0073020442149344
30073,En2,-3.5863707,-1.8008276,0.0003418221050123,0.0072687933932601
30074,Ggnbp2,-3.5867224,-0.20200717,0.0003435552939925,0.0072772322949186
30075,Pole2,-3.5873065,-0.38657868,0.0003422205887014,0.0072687933932601
30076,Fxyd5,-3.5876064,-0.12503462,0.0003421135799961,0.0072687933932601
30077,Pum2,-3.5914528,-0.179845,0.0003374657212706,0.0071923974211508
30078,Pip4k2a,-3.5918589,-0.2563024,0.0003364743399236,0.0071811255516496
30079,Dna2,-3.5922682,-0.34430623,0.000336256840435,0.0071811255516496
30080,Ppil1,-3.5927289,-0.2561989,0.000335817479696,0.0071811255516496
30081,Ppp1r8,-3.5940456,-0.23886172,0.0003338232878707,0.0071441864633025
30082,Cox6c,-3.5966473,-0.1589904,0.0003307350079167,0.0070878634926423
30083,Hist1h2an,-3.597695,-0.5764118,0.0003288188939338,0.0070516665147297
30084,Xlr4a,-3.6031723,-0.50858825,0.0003222014418638,0.0069193093874127
30085,Cma1,-3.603235,-2.8327293,0.0003214449420625,0.0069126245054488
30086,Selenof,-3.6036167,-0.14611274,0.000322134085735,0.0069193093874127
30087,P2rx7,-3.6046038,-0.8081604,0.000319029124631,0.0068701882157899
30088,Nin,-3.6069272,-0.28045872,0.0003177410299616,0.0068471979204704
30089,Psmb5,-3.609438,-0.16491233,0.0003145356545891,0.0067828303346922
30090,Dhx15,-3.6110382,-0.19799055,0.0003132792966309,0.006769530405639
30091,Pilrb1,-3.6132333,-3.6128032,0.0003108714488977,0.0067318626935992
30092,Timm44,-3.6135926,-0.25060973,0.000310235784562,0.0067227856371287
30093,Ighv1-28,-3.6140597,-1.9200606,0.0003083411873977,0.0066863958744855
30094,Hdgfl2,-3.6153731,-0.24435899,0.0003081349503275,0.0066863958744855
30095,Tmem160,-3.6163218,-0.18318269,0.0003068041815573,0.0066763771898384
30096,Rbx1,-3.617242,-0.19833231,0.0003052275133624,0.0066560603739078
30097,Slc6a4,-3.6177292,-6.591094,0.0003061150086715,0.0066660514476008
30098,Sypl,-3.6191342,-0.18899706,0.0003033167105994,0.0066236946654324
30099,Strap,-3.6211371,-0.21565907,0.0003014070102976,0.0065993658270232
30100,Ltb4r1,-3.6212728,-0.955164,0.0002990722189701,0.0065679558809611
30101,Bysl,-3.6212914,-0.39055598,0.0003004902551906,0.006592526416563
30102,Hnrnpk,-3.6213481,-0.09496048,0.000301211077197,0.0065993658270232
30103,Cysltr1,-3.622047,-3.7595806,0.000300615637969,0.006592526416563
30104,Lpxn,-3.6268227,-1.1850073,0.0002925542859156,0.0064376679107365
30105,1700006J14Rik,-3.6274457,-0.6903048,0.000292418082709,0.0064376679107365
30106,Cdc25a,-3.6284504,-0.27990192,0.0002927249248046,0.0064376679107365
30107,Rpe,-3.6288996,-0.32957798,0.0002918804294157,0.0064327629344559
30108,Pkd1l2,-3.6295872,-2.6735134,0.0002903266553948,0.0064030636576544
30109,Psmb4,-3.6315012,-0.17601767,0.0002895186793652,0.0063897821963969
30110,Syt12,-3.6349223,-2.602093,0.0002847727698593,0.0062939849270062
30111,D630033O11Rik,-3.6370406,-3.8097327,0.0002838369384468,0.006277769550989
30112,Il18r1,-3.6375508,-0.81402296,0.0002810899085845,0.0062303247189702
30113,Tardbp,-3.6389966,-0.14431255,0.000281350713859,0.0062316574304326
30114,2610318N02Rik,-3.6420121,-0.44800878,0.000277212838868,0.0061575753114231
30115,Rrp1b,-3.642246,-0.26909873,0.0002776611359681,0.0061631245569836
30116,Ap2s1,-3.6442733,-0.19264981,0.0002755444942807,0.0061248984831072
30117,Rgs8,-3.6454444,-1.4030944,0.0002722852791341,0.0060654768816011
30118,Bub1,-3.646244,-0.46487555,0.0002732145500949,0.0060818146409304
30119,Brca1,-3.648259,-0.4387744,0.0002710310932838,0.0060418726057015
30120,Swi5,-3.6485944,-0.14626913,0.0002707045796049,0.0060418726057015
30121,Dcp2,-3.6486251,-0.25007254,0.0002710279109542,0.0060418726057015
30122,Scin,-3.6498,-2.1083996,0.0002679571701015,0.0059905500382751
30123,Grpel1,-3.6528735,-0.2346987,0.0002661876285806,0.0059552769670853
30124,Cmc2,-3.6566374,-0.36152893,0.0002622304233575,0.005880730633237
30125,Ndufaf4,-3.6568773,-0.29636577,0.0002622874416975,0.005880730633237
30126,Ss18l2,-3.6575816,-0.38248974,0.0002608436626569,0.0058631761300845
30127,Txndc17,-3.6577196,-0.23044297,0.0002613165258337,0.0058674346180144
30128,Atrx,-3.6588993,-0.14116003,0.0002609380546735,0.0058631761300845
30129,Esyt1,-3.658997,-0.21454626,0.0002602582115995,0.0058563755397106
30130,Supt16,-3.6600013,-0.2106149,0.0002593195933246,0.0058510774766606
30131,Mrgprb1,-3.660166,-6.476836,0.000259959776372,0.0058539020563316
30132,Pmp22,-3.6603281,-3.7594333,0.0002594574979989,0.0058510774766606
30133,Arhgef39,-3.6605005,-0.40619,0.0002583526694072,0.0058346366858922
30134,Cdt1,-3.6701596,-0.32501674,0.000249342740096,0.0056558364559541
30135,Trpm2,-3.670958,-0.7450327,0.0002471343422229,0.0056139449371251
30136,Sap18b,-3.6714008,-0.18288636,0.0002476023968453,0.005620465810848
30137,Cmpk1,-3.6724527,-0.19843121,0.0002469216742525,0.0056132201687887
30138,Gm16552,-3.6728504,-0.7261722,0.0002453045303055,0.0055805432817428
30139,Dbf4,-3.6773372,-0.36522025,0.0002422018776298,0.0055220961130992
30140,Usf2,-3.678205,-0.28968954,0.0002410455830505,0.0055084571219817
30141,B2m,-3.6782143,-0.089237474,0.0002417595298892,0.0055160607506628
30142,Senp6,-3.6786385,-0.17403787,0.0002413526026007,0.0055108252710006
30143,Il10ra,-3.6814535,-0.57488394,0.0002378242970102,0.0054422681614281
30144,Actl6a,-3.6828606,-0.234213,0.0002373764805483,0.0054360264383973
30145,AI413582,-3.6890492,-0.3519472,0.0002308676318728,0.005290872747268
30146,Snrpb,-3.6925576,-0.15199159,0.0002285513349328,0.0052416577575105
30147,Ccr7,-3.6935883,-1.2224087,0.0002258319011114,0.0051907905441999
30148,Mdm4,-3.6938674,-0.17540754,0.0002271682348927,0.0052137880252218
30149,Trnt1,-3.6952102,-0.24700366,0.000226020456176,0.0051912819716241
30150,Rap1b,-3.6953726,-0.17297506,0.0002253528674172,0.0051836167347472
30151,Sec11a,-3.6979897,-0.21815468,0.0002236699255466,0.0051563639183372
30152,Snrpa1,-3.6996305,-0.22378007,0.000222097581843,0.0051277295233986
30153,Fancm,-3.7005203,-0.36482918,0.0002211107578391,0.0051163579457374
30154,Depdc1a,-3.7041075,-0.6852702,0.0002170476580338,0.0050547597251678
30155,Spef1,-3.7041826,-0.7766069,0.000217079026596,0.0050547597251678
30156,Mpo,-3.7042308,-0.40447932,0.0002177450250486,0.0050609278841958
30157,Mdh2,-3.7046137,-0.17554666,0.0002179003826094,0.0050609278841958
30158,Actb,-3.7051873,-0.07938554,0.0002171464745233,0.0050547597251678
30159,Nfu1,-3.7053277,-0.20987037,0.0002174364503194,0.005057718420802
30160,Eif4ebp2,-3.7064023,-0.1880048,0.0002166669534376,0.0050547597251678
30161,Gm9844,-3.7099094,-0.30524874,0.0002125003061248,0.0049726993263703
30162,Oxct1,-3.7126756,-0.25024354,0.0002112123990823,0.0049462885585996
30163,Tpsg1,-3.7132936,-4.754472,0.0002111516739846,0.0049462885585996
30164,Rhbdl2,-3.714068,-1.7073636,0.0002083283165099,0.0049046392817172
30165,Rad51,-3.7144713,-0.40695906,0.0002096349448457,0.0049242011666379
30166,Erh,-3.715456,-0.20346652,0.000208143226868,0.004903999714668
30167,Chek1,-3.71655,-0.37657467,0.0002077178436291,0.0048976933927237
30168,Krt4,-3.7185776,-6.716736,0.0002070209207092,0.004884970099381
30169,Cops6,-3.7200792,-0.21319492,0.0002050190565009,0.0048414119859495
30170,Fam117a,-3.7216752,-0.28793108,0.0002033813285448,0.0048063929949041
30171,C1qbp,-3.7236042,-0.18713033,0.0002021123547979,0.0047800418534212
30172,Lamtor4,-3.7237198,-0.23663808,0.0002019353518625,0.0047794957937408
30173,Smarca5,-3.7259443,-0.18684317,0.0002002224537818,0.0047425689224156
30174,Gm19331,-3.7294278,-2.1487708,0.0001968271511691,0.004672839086586
30175,Ddx21,-3.7295117,-0.23461968,0.0001978728763363,0.0046940767218268
30176,Jmjd6,-3.730738,-0.29137325,0.0001965983332864,0.0046709778450995
30177,Chaf1a,-3.7312095,-0.3536579,0.0001963371914596,0.0046683451810089
30178,Cdc6,-3.7323432,-0.4164643,0.0001949727310461,0.0046394545725485
30179,Gpd1l,-3.733733,-0.35160008,0.0001940391583946,0.0046207806638259
30180,Tmem121,-3.734457,-0.64396465,0.0001929189578393,0.0045987537018568
30181,Tcea1,-3.7353127,-0.23870464,0.0001927824117988,0.0045987537018568
30182,Fen1,-3.7355273,-0.32298863,0.0001929660926003,0.0045987537018568
30183,Uchl5,-3.736081,-0.22190802,0.0001923547325697,0.0045947627003762
30184,Aunip,-3.737066,-0.5814188,0.0001914054536306,0.0045756070451052
30185,Prdx1,-3.7372663,-0.14516976,0.0001911845214346,0.0045738466441524
30186,Get4,-3.7388258,-0.26156527,0.0001903032434193,0.0045562734139563
30187,Psme2,-3.740706,-0.17787425,0.0001889311207593,0.0045269121087493
30188,Mrpl16,-3.7445624,-0.25901365,0.0001860647392933,0.0044720343260643
30189,Kpna1,-3.744823,-0.28759152,0.0001859243164923,0.0044720343260643
30190,Wdr62,-3.74802,-0.4982432,0.0001832869931717,0.0044189526389457
30191,Tfdp1,-3.748596,-0.22254924,0.000183274024977,0.0044189526389457
30192,Psmc5,-3.750234,-0.2133229,0.0001822445292583,0.0044006526960035
30193,Serpina3g,-3.7505157,-0.28446722,0.0001815248611689,0.0043901024251396
30194,Chchd1,-3.7505474,-0.21347323,0.0001817437920037,0.0043919766327575
30195,Arl6ip1,-3.7514548,-0.17079175,0.0001807851645984,0.0043756209791703
30196,G3bp2,-3.752245,-0.17958991,0.0001806139709352,0.0043748873942689
30197,Bclaf1,-3.7572021,-0.14769532,0.0001769774790946,0.0042935012955682
30198,Ube2n,-3.7591412,-0.27883437,0.0001753776540419,0.0042580158647105
30199,Spry4,-3.7596407,-1.3399677,0.0001739777775489,0.0042306436383915
30200,Psip1,-3.7657826,-0.19103774,0.0001709480196152,0.004163489296558
30201,Gng12,-3.769239,-0.24824251,0.0001686509476532,0.0041107675647375
30202,Fbxo45,-3.771818,-0.35164717,0.0001667864572863,0.0040685152066874
30203,Cenpi,-3.7719598,-0.494858,0.0001665892269353,0.0040668987924704
30204,Slc9a9,-3.7783375,-0.41969183,0.000162216147528,0.0039695019930555
30205,Ripor3,-3.7836516,-1.9778699,0.0001582472464261,0.003893860335398
30206,Cops9,-3.7855728,-0.20436688,0.0001580215874963,0.0038913912422884
30207,Cbx3,-3.78829,-0.22126174,0.0001563753705132,0.00385390823853
30208,Prim2,-3.795367,-0.35191023,0.0001521465335196,0.0037586366789054
30209,Galnt6,-3.7956333,-0.30498305,0.000151909471341,0.0037586366789054
30210,Serbp1,-3.7974143,-0.12284358,0.000150722673078,0.0037413198777707
30211,Kpna3,-3.7995389,-0.28769457,0.0001495267417013,0.0037146031280419
30212,Tuba4a,-3.800358,-0.21942322,0.0001491879322344,0.00370915361063
30213,Rbmxl1,-3.804049,-0.19352235,0.0001466786950943,0.0036555485704373
30214,Hnrnpm,-3.805999,-0.14164229,0.000145997377396,0.0036444184568169
30215,Mvb12b,-3.8066874,-0.27484813,0.0001451905738947,0.0036301150492389
30216,Mrpl57,-3.8074918,-0.2259102,0.0001446769759182,0.0036201886649402
30217,Gchfr,-3.80807,-0.7724604,0.0001436041473113,0.0035962416019833
30218,Stxbp6,-3.8098931,-1.3225292,0.0001427779192776,0.0035784364223799
30219,Abhd2,-3.811959,-0.24629252,0.0001421757149949,0.0035662217106131
30220,Lbr,-3.814126,-0.19147334,0.0001413129646773,0.0035474466387422
30221,Drc7,-3.8147438,-0.9411617,0.0001397943733888,0.0035150078355015
30222,CAAA01147332.1,-3.8152523,-0.27770993,0.0001402823391944,0.0035244235267032
30223,Psmb7,-3.8167431,-0.18922138,0.0001395018004187,0.0035104938479765
30224,Gm42435,-3.8171701,-0.49691805,0.0001388099344833,0.0034959163791656
30225,Spag17,-3.8176656,-2.3136473,0.000138269877726,0.0034851416501842
30226,Ndc1,-3.819256,-0.33192858,0.0001380724262137,0.0034851416501842
30227,Mapre1,-3.8256748,-0.19346476,0.0001348358366477,0.0034124345846969
30228,Gfi1,-3.827836,-0.42604807,0.0001332188402119,0.0033742615376034
30229,Fam98a,-3.8295398,-0.3052962,0.0001325047706817,0.0033639202728762
30230,Srsf7,-3.8314815,-0.14899567,0.0001315582591918,0.0033431085292025
30231,Smchd1,-3.8328738,-0.19595093,0.0001308989575133,0.0033293884347581
30232,Tuba1b,-3.8357935,-0.23002806,0.000129304980966,0.0032939356636081
30233,Magohb,-3.8358743,-0.34704185,0.0001288407967704,0.0032902082747637
30234,Ywhaz,-3.8369539,-0.11832465,0.0001285866847545,0.0032864216639355
30235,Twf1,-3.8399565,-0.3309238,0.0001269837830707,0.0032494006147183
30236,Cdkn3,-3.840165,-0.69916475,0.0001266370027527,0.0032446030086474
30237,Churc1,-3.8408623,-0.2844712,0.0001260848454927,0.0032331236226982
30238,Hist1h4j,-3.8420894,-1.4023032,0.0001250025842887,0.0032169604006426
30239,Aida,-3.8426468,-0.35129127,0.0001252473231049,0.0032169604006426
30240,Slc45a3,-3.8430924,-2.7115798,0.0001250985184389,0.0032169604006426
30241,Cdc34b,-3.8431606,-0.3358382,0.0001251500154726,0.0032169604006426
30242,Tuba1c,-3.8436136,-0.34011665,0.0001249325514249,0.0032169604006426
30243,Sarnp,-3.844269,-0.21970583,0.0001247417164993,0.0032169604006426
