Unnamed: 0,Gene,scores,log2FC,p_value,q_value
220,Trpc4ap,4.6370177,0.21830839,3.7912923082191538e-06,0.0001679064722682
221,Shisa9,4.620958,2.9651895,4.3164821962593135e-06,0.000189321640735
222,Bcl6,4.613786,1.0582498,4.337270693599185e-06,0.0001899651154419
223,Hacd4,4.612301,0.40222815,4.280754848077531e-06,0.0001880201984403
224,Tmie,4.6076045,1.5225658,4.484261204573957e-06,0.0001944829094771
225,Msl3l2,4.606618,0.55961925,4.4107223079134815e-06,0.0001923682020051
226,Erg,4.6017866,0.23534223,4.4768716723082455e-06,0.0001944339804757
227,Gm32014,4.5986185,1.4445311,4.675672549208886e-06,0.0002016578606535
228,Leng8,4.5917845,0.24303292,4.690522340383106e-06,0.0002020177395782
229,Cnksr3,4.590834,0.44662696,4.762124377432254e-06,0.0002045342300033
230,Mgat1,4.585901,0.2995726,4.8410880635166585e-06,0.0002067817161435
231,Def8,4.584979,0.30858538,4.856424575163652e-06,0.0002071518575996
232,Tbc1d17,4.581821,0.4051098,4.9574104991282055e-06,0.0002100170098627
233,Atxn7l1,4.572751,0.27058253,5.146343252462515e-06,0.0002171285544449
234,Coq8a,4.560088,0.4402761,5.4765075244778526e-06,0.0002291940541207
235,Mmp28,4.5544763,1.5175598,5.744097119370334e-06,0.0002387837320586
236,Sigirr,4.552841,0.3263168,5.656147113279748e-06,0.0002360757208449
237,Rnf208,4.5407014,1.045867,6.072954783088494e-06,0.0002507781108836
238,Tox,4.538701,0.43791163,6.062092136803988e-06,0.0002507781108836
239,Sox6,4.5345883,0.48452193,6.180915408994265e-06,0.0002545569843441
240,Pafah2,4.525462,0.3417647,6.428867465441469e-06,0.0002630245341295
241,Ltbp3,4.5215387,0.3559475,6.56169207777879e-06,0.0002677532511054
242,Rhbdd2,4.5194764,0.29754612,6.615850318297194e-06,0.000269608923798
243,Zfp36l2,4.512966,0.1653338,6.778744950502458e-06,0.0002751638783633
244,Bex4,4.5073633,0.72318417,7.075583978836679e-06,0.0002857192578606
245,Cpq,4.502269,0.27766424,7.14885404415291e-06,0.000288303070952
246,Cbx7,4.4942765,0.5002753,7.467238942759422e-06,0.0002999743478518
