"","Gene","MeanDecreaseGini"
"Hivep2","Hivep2",0
"Tmem59l","Tmem59l",0
"Akap6","Akap6",0
"Gabarapl1","Gabarapl1",0
"Kcna1","Kcna1",0
"Arhgap35","Arhgap35",0
"Faim2","Faim2",0
"Ndfip2","Ndfip2",0
"Tom1l2","Tom1l2",0
"Glg1","Glg1",0
"Luc7l3","Luc7l3",0
"Trim2","Trim2",0
"Stum","Stum",0
"Maged1","Maged1",0
"Tspan3","Tspan3",0
"Nme1","Nme1",0
